fid,cleabs,code_hydrographique,nature,toponyme,statut_du_toponyme,importance,date_creation,date_modification,date_d_apparition,date_de_confirmation,sources,identifiants_sources,statut,influence_de_la_maree,caractere_permanent,altitude_moyenne,referentiel_de_l_altitude_moyenne,mode_d_obtention_de_l_altitude_moy,precision_de_l_altitude_moyenne,hauteur_d_eau_maximale,mode_d_obtention_de_la_hauteur,commentaire_sur_l_objet_hydro
"50",PLANDEAU0000000040207843,06P0000000040207843,Retenue,la Rhée Longue,Validé,"5",2006/11/22 12:22:15,2019/10/14 11:07:58,,,,,Validé,,vrai,,,,,,,
"51",PLANDEAU0000000040207844,06P0000000040207844,Retenue,Étang de la Grande Palun,Validé,"4",2006/11/22 12:22:15,2019/10/14 11:07:58,,,,,Validé,,vrai,,,,,,,
"52",PLANDEAU0000000040207847,06P0000000040207847,Lac,Grau de Piémanson,Validé,"4",2006/11/22 12:22:15,2018/06/15 10:54:04,,,,,Validé,,faux,,,,,,,
"53",PLANDEAU0000000040207849,06P0000000040207849,Lac,Baisse de la Sableuse,Validé,"5",2006/11/22 12:22:15,2019/10/14 11:07:58,,,,,Validé,,vrai,,,,,,,
"54",PLANDEAU0000000040207850,06P0000000040207850,Retenue,Chabrier,Validé,"5",2006/11/22 12:22:15,2019/10/14 11:07:58,,,,,Validé,,vrai,,,,,,,
"55",PLANDEAU0000000040207857,06P0000000040207857,Lac,Grau d'Enfer,Validé,"5",2006/11/22 12:22:15,2018/06/15 10:54:04,,,,,Validé,,faux,,,,,,,
"56",PLANDEAU0000000040207858,06P0000000040207858,Lac,Jeu de Maille,Validé,"4",2006/11/22 12:22:15,2018/06/15 10:54:04,,,,,Validé,,faux,,,,,,,
"57",PLANDEAU0000000040207862,06P0000000040207862,Lac,Étang de la Dame,Validé,"4",2006/11/22 12:22:15,2019/03/06 22:32:36,,,,,Validé,,faux,,,,,,,
"58",PLANDEAU0000000040207863,06P0000000040207863,Lac,Baisses de Saint-Genest,Validé,"4",2006/11/22 12:22:15,2018/06/15 10:54:04,,,,,Validé,,faux,,,,,,,
"59",PLANDEAU0000000040207866,06P0000000040207866,Lac,Enfores,Validé,"4",2006/11/22 12:22:15,2018/06/15 10:54:04,,,,,Validé,,vrai,,,,,,,
"60",PLANDEAU0000000040207867,06P0000000040207867,Lac,les Pointes,Validé,"4",2006/11/22 12:22:15,2018/06/15 10:54:04,,,,,Validé,,faux,,,,,,,
"61",PLANDEAU0000000040207889,06P0000000040207889,Lac,Lagunes de Beauduc,Validé,"4",2006/11/22 12:22:15,2018/06/15 10:54:04,,,,,Validé,,faux,,,,,,,
"62",PLANDEAU0000000044346913,06P0000000044346913,Lac,Étang de la Castillone,Validé,"4",2006/12/12 11:20:44,2018/06/15 10:54:04,,,,,Validé,,vrai,,,,,,,
"63",PLANDEAU0000000044347003,06P0000000044347003,Lac,l'Eau Périe,Validé,"5",2006/12/12 11:20:44,2018/06/15 10:54:04,,,,,Validé,,vrai,,,,,,,
"64",PLANDEAU0000000044347160,06P0000000044347160,Lac,Gourg de l'Œil,Validé,"5",2006/12/12 11:20:44,2018/06/15 10:54:04,,,,,Validé,,vrai,,,,,,,
"65",PLANDEAU0000000044347245,06P0000000044347245,Lac,Gourg de Pairollet,Validé,"5",2006/12/12 11:20:44,2020/04/21 22:14:18,,,,,Validé,,faux,,,,,,,
"66",PLANDEAU0000000044347255,06P0000000044347255,Lac,Grau du Rieu,Validé,"4",2006/12/12 11:20:44,2020/05/04 22:28:36,,,,,Validé,,faux,,,,,,,
"67",PLANDEAU0000000079949577,06P0000000079949577,Lac,les Exals,Validé,"4",2007/06/06 13:53:13,2021/01/31 22:58:36,,,,,Validé,,vrai,,,,,,,
"68",PLANDEAU0000000079949636,99P0000000079949636,Lac,Étang du Grazel,Validé,"4",2007/06/06 13:53:13,2019/11/06 21:08:05,,,,,Validé,,vrai,,,,,,,
"69",PLANDEAU0000000079949655,06P0000000079949655,Lac,le Gassot,Validé,"5",2007/06/06 13:53:13,2018/06/15 10:54:04,,,,,Validé,,vrai,,,,,,,
"70",PLANDEAU0000000079949682,06P0000000079949682,Lagune,Étang de la Sèche,Validé,"4",2007/06/06 13:53:13,2019/10/14 11:07:58,,,,,Validé,,vrai,,,,,,,
"71",PLANDEAU0000000079949683,06P0000000079949683,Lac,Étang du Charlot,Validé,"5",2007/06/06 13:53:13,2018/06/15 10:54:04,,,,,Validé,,vrai,,,,,,,
"72",PLANDEAU0000000079949684,06P0000000079949684,Lac,le Bassin,Validé,"5",2007/06/06 13:53:13,2018/06/15 10:54:04,,,,,Validé,,vrai,,,,,,,
"73",PLANDEAU0000000079949685,06P0000000079949685,Lac,Étang de Peyriac-de-Mer,Validé,"4",2007/06/06 13:53:13,2021/01/31 22:58:36,,,,,Validé,,vrai,,,,,,,
"74",PLANDEAU0000000079949700,06P0000000079949700,Retenue,Étang de Sigean,Validé,"4",2007/06/06 13:53:13,2021/01/31 22:58:36,,,,,Validé,,vrai,,,,,,,
"75",PLANDEAU0000000079949753,06P0000000079949753,Lac,les Estagnols,Validé,"4",2007/06/06 13:53:13,2018/06/15 10:54:04,,,,,Validé,,vrai,,,,,,,
"76",PLANDEAU0000000079949888,06P0000000079949888,Retenue,Étang de Salses-Leucate,Validé,"2",2007/06/06 13:53:13,2021/01/31 22:58:36,,,,,Validé,,vrai,,,,,,,
"77",PLANDEAU0000000095070405,06P0000000095070405,Lac,Trou de l'Otan,Validé,"5",2007/09/14 13:56:27,2018/06/15 10:54:04,,,,,Validé,,vrai,,,,,,,
"78",PLANDEAU0000000095070406,06P0000000095070406,Lac,la Souillère,Validé,"5",2007/09/14 13:56:27,2018/06/15 10:54:04,,,,,Validé,,vrai,,,,,,,
"79",PLANDEAU0000000095070441,06P0000000095070441,Lac,la Stribick,Validé,"5",2007/09/14 13:57:14,2018/06/15 10:54:04,,,,,Validé,,vrai,,,,,,,
"80",PLANDEAU0000000095070474,06P0000000095070474,Lac,Étang des Baronnets,Validé,"5",2007/09/14 13:57:45,2021/01/31 22:58:36,,,,,Validé,,vrai,,,,,,,
"81",PLANDEAU0000000095070579,06P0000000095070579,Lac,le Chaumadou,Validé,"4",2007/09/14 13:58:19,2018/06/15 10:54:04,,,,,Validé,,vrai,,,,,,,
"82",PLANDEAU0000000095070590,06P0000000095070590,Lac,Étang du Roi,Validé,"3",2007/09/14 13:58:29,2018/06/15 10:54:04,,,,,Validé,,faux,,,,,,,
"83",PLANDEAU0000000225973081,06P0000000225973081,Lac,Plan d'Eau du Vidourle,Validé,"5",2009/11/25 09:51:02,2018/06/15 10:54:04,,,,,Validé,,vrai,,,,,,,
"84",PLANDEAU0000000227707248,06P0000000227707248,Lac,Étang du Pech Maynaud,Collecté,"6",2009/12/10 11:24:54,2017/12/19 14:47:36,,,,,Validé,,vrai,,,,,,,
"85",PLANDEAU0000000227729029,06P0000000227729029,Lac,Plan d'Eau Désiré Pech,Collecté,"6",2009/12/10 16:08:04,2021/01/31 22:58:36,,,,,Validé,,vrai,,,,,,,
"86",PLANDEAU0000000242519197,06P0000000242519197,Lac,Lac de la Tuilière,Collecté,"6",2010/08/18 13:43:13,2017/12/19 14:47:36,,,,,Validé,,vrai,,,,,,,
"87",PLANDEAU0000002000777300,06P0000002000777300,,Bassin du Réaltor,Validé,"3",2017/01/24 16:06:18,2021/01/31 22:58:36,,,,,Validé,,,,,,,,,
"88",PLANDEAU0000002000777301,06P0000002000777301,,Étang de Vaïné,Collecté,"3",2017/01/24 16:06:18,2021/03/15 22:35:34,,,,,Validé,,,,,,,,,
"89",PLANDEAU0000002000778827,06P0000002000778827,,Baisse des Béchets,Validé,"3",2017/01/24 16:06:18,2019/06/03 19:49:11,,,,,Validé,,,,,,,,,
"90",PLANDEAU0000002000778828,06P0000002000778828,,Étang Sainte-Anne,Validé,"3",2017/01/24 16:06:18,2019/06/03 19:49:11,,,,,Validé,,,,,,,,,
"91",PLANDEAU0000002000778833,06P0000002000778833,,Baisse Michel,Validé,"3",2017/01/24 16:06:18,2019/06/03 19:49:11,,,,,Validé,,,,,,,,,
"92",PLANDEAU0000002000778834,06P0000002000778834,,They de Béricles et de la Palissade,Collecté,"3",2017/01/24 16:06:18,2018/01/25 10:50:13,,,,,Validé,,,,,,,,,
"93",PLANDEAU0000002000778835,06P0000002000778835,,les Launes,Validé,"3",2017/01/24 16:06:18,2019/06/03 19:49:11,,,,,Validé,,,,,,,,,
"94",PLANDEAU0000002000778836,06P0000002000778836,,They de Béricles et de la Palissade,Collecté,"3",2017/01/24 16:06:18,2018/01/25 10:50:13,,,,,Validé,,,,,,,,,
"95",PLANDEAU0000002000778837,06P0000002000778837,,Cappouillet,Validé,"3",2017/01/24 16:06:18,2019/06/03 19:49:11,,,,,Validé,,,,,,,,,
"96",PLANDEAU0000002000778838,06P0000002000778838,,Trou de l'Oie,Validé,"3",2017/01/24 16:06:18,2019/06/03 19:49:11,,,,,Validé,,,,,,,,,
"97",PLANDEAU0000002000778839,06P0000002000778839,,Baisse Claire,Validé,"3",2017/01/24 16:06:18,2019/06/03 19:49:11,,,,,Validé,,,,,,,,,
"98",PLANDEAU0000002000778851,06P0000002000778851,,Ancien Rhône de Saint-Ferréol,Collecté,"3",2017/01/24 16:06:18,2019/06/04 10:54:14,,,,,Validé,,,,,,,,,
"99",PLANDEAU0000002000778852,06P0000002000778852,,Baisses de Saxi,Collecté,"3",2017/01/24 16:06:18,2019/10/14 11:07:58,,,,,Validé,,,,,,,,,
"100",PLANDEAU0000002000778854,06P0000002000778854,,Gravière de Istres-la Massuguiere,Collecté,"3",2017/01/24 16:06:18,2019/06/04 10:54:14,,,,,Validé,,,,,,,,,
"101",PLANDEAU0000002000778855,06P0000002000778855,,Fanfarigoule,Validé,"3",2017/01/24 16:06:18,2019/06/03 19:49:11,,,,,Validé,,,,,,,,,
"102",PLANDEAU0000002000778857,06P0000002000778857,,Marais de la Palunette,Collecté,"3",2017/01/24 16:06:18,2019/06/04 10:54:14,,,,,Validé,,,,,,,,,
"103",PLANDEAU0000002000778858,06P0000002000778858,,Marais de la Palunette,Collecté,"3",2017/01/24 16:06:18,2019/06/11 22:26:23,,,,,Validé,,,,,,,,,
"104",PLANDEAU0000002000778860,06P0000002000778860,,Grau du Renard,Validé,"3",2017/01/24 16:06:18,2020/09/09 22:31:42,,,,,Validé,,,,,,,,,
"105",PLANDEAU0000002000778861,06P0000002000778861,,Foux du Fournelet,Validé,"3",2017/01/24 16:06:18,2019/06/03 19:49:11,,,,,Validé,,,,,,,,,
"106",PLANDEAU0000002000778862,06P0000002000778862,,Baisse des Piquets,Validé,"3",2017/01/24 16:06:18,2019/06/03 19:49:11,,,,,Validé,,,,,,,,,
"107",PLANDEAU0000002000778863,06P0000002000778863,,Foux du Lion,Validé,"3",2017/01/24 16:06:18,2019/06/03 19:49:11,,,,,Validé,,,,,,,,,
"108",PLANDEAU0000002000778864,06P0000002000778864,,Étang de Vaccarès,Validé,"3",2017/01/24 16:06:18,2021/01/31 22:58:36,,,,,Validé,,,,,,,,,
"109",PLANDEAU0000002000778865,06P0000002000778865,,Étang de Monro,Collecté,"3",2017/01/24 16:06:18,2019/06/03 19:49:11,,,,,Validé,,,,,,,,,
"110",PLANDEAU0000002000778866,06P0000002000778866,,Gaze des Rièges,Validé,"3",2017/01/24 16:06:18,2019/06/03 19:49:11,,,,,Validé,,,,,,,,,
"111",PLANDEAU0000002000778867,06P0000002000778867,,Étang de Malagroy,Validé,"3",2017/01/24 16:06:18,2019/06/03 19:49:11,,,,,Validé,,,,,,,,,
"112",PLANDEAU0000002000778868,06P0000002000778868,,Étang de Consécanière,Validé,"3",2017/01/24 16:06:18,2019/06/03 19:49:11,,,,,Validé,,,,,,,,,
"113",PLANDEAU0000002000778869,06P0000002000778869,,Étang de Citis,Validé,"3",2017/01/24 16:06:18,2019/06/03 19:49:11,,,,,Validé,,,,,,,,,
"114",PLANDEAU0000002000778870,06P0000002000778870,,Étang de Lavalduc,Validé,"3",2017/01/24 16:06:18,2019/11/05 21:08:38,,,,,Validé,,,,,,,,,
"115",PLANDEAU0000002000778871,06P0000002000778871,,Étang de l'Estomac,Validé,"3",2017/01/24 16:06:18,2021/03/02 23:12:44,,,,,Validé,,,,,,,,,
"116",PLANDEAU0000002000778872,06P0000002000778872,,Étang d'Ulmet,Validé,"3",2017/01/24 16:06:18,2019/06/03 19:49:11,,,,,Validé,,,,,,,,,
"117",PLANDEAU0000002000778873,06P0000002000778873,,Baisse Salée,Collecté,"3",2017/01/24 16:06:18,2019/06/04 10:54:14,,,,,Validé,,,,,,,,,
"118",PLANDEAU0000002000778874,06P0000002000778874,,Étang du Fournelet,Collecté,"3",2017/01/24 16:06:18,2019/06/03 19:49:11,,,,,Validé,,,,,,,,,
"119",PLANDEAU0000002000778875,06P0000002000778875,,Gaze du Fournelet,Collecté,"3",2017/01/24 16:06:18,2019/06/04 10:54:14,,,,,Validé,,,,,,,,,
"120",PLANDEAU0000002000778876,06P0000002000778876,,Bras de la Dame,Validé,"3",2017/01/24 16:06:18,2019/06/03 19:49:11,,,,,Validé,,,,,,,,,
"121",PLANDEAU0000002000778877,06P0000002000778877,,Étang de la Dame,Validé,"3",2017/01/24 16:06:18,2019/06/03 19:49:11,,,,,Validé,,,,,,,,,
"122",PLANDEAU0000002000778878,06P0000002000778878,,Trou de mon Oncle,Collecté,"3",2017/01/24 16:06:18,2019/06/03 19:49:11,,,,,Validé,,,,,,,,,
"123",PLANDEAU0000002000778879,06P0000002000778879,,Étang du Lion,Collecté,"3",2017/01/24 16:06:18,2019/06/03 19:49:11,,,,,Validé,,,,,,,,,
"124",PLANDEAU0000002000778880,06P0000002000778880,,Gaze du Marteau,Validé,"3",2017/01/24 16:06:18,2019/06/03 19:49:11,,,,,Validé,,,,,,,,,
"125",PLANDEAU0000002000778881,06P0000002000778881,,Étang du Tampan,Validé,"3",2017/01/24 16:06:18,2019/06/03 19:49:11,,,,,Validé,,,,,,,,,
"126",PLANDEAU0000002000778882,06P0000002000778882,,Trabas de la Miole,Collecté,"3",2017/01/24 16:06:18,2018/01/25 10:50:13,,,,,Validé,,,,,,,,,
"127",PLANDEAU0000002000778883,06P0000002000778883,,Gaze du Phare,Validé,"3",2017/01/24 16:06:18,2019/06/03 19:49:11,,,,,Validé,,,,,,,,,
"128",PLANDEAU0000002000778884,06P0000002000778884,,Baisse de la Redonne,Validé,"3",2017/01/24 16:06:18,2019/06/03 19:49:11,,,,,Validé,,,,,,,,,
"129",PLANDEAU0000002000778885,06P0000002000778885,,Étang des Batayolles,Collecté,"3",2017/01/24 16:06:18,2018/01/25 10:50:13,,,,,Validé,,,,,,,,,
"130",PLANDEAU0000002000778886,06P0000002000778886,,Gaze d'Escamp,Validé,"3",2017/01/24 16:06:18,2019/06/03 19:49:11,,,,,Validé,,,,,,,,,
"131",PLANDEAU0000002000778887,06P0000002000778887,,Baisse de la Relonguette,Validé,"3",2017/01/24 16:06:18,2019/06/03 19:49:11,,,,,Validé,,,,,,,,,
"132",PLANDEAU0000002000778888,06P0000002000778888,,Baisse de Mergues,Validé,"3",2017/01/24 16:06:18,2019/06/03 19:49:11,,,,,Validé,,,,,,,,,
"133",PLANDEAU0000002000778889,06P0000002000778889,,Étang des Batayolles,Validé,"3",2017/01/24 16:06:18,2021/01/31 22:58:36,,,,,Validé,,,,,,,,,
"134",PLANDEAU0000002000778890,06P0000002000778890,,Trabas de Rousty,Validé,"3",2017/01/24 16:06:18,2019/06/03 19:49:11,,,,,Validé,,,,,,,,,
"135",PLANDEAU0000002000778891,06P0000002000778891,,Baisse de Mouillot,Validé,"3",2017/01/24 16:06:18,2019/06/03 19:49:11,,,,,Validé,,,,,,,,,
"136",PLANDEAU0000002000778892,06P0000002000778892,Retenue,Étang de l'Impérial,Validé,"4",2017/01/24 16:06:18,2019/06/11 18:03:49,,,,,Validé,,,,,,,,,
"137",PLANDEAU0000002000778893,06P0000002000778893,,Trabas de Jusiou,Validé,"3",2017/01/24 16:06:18,2019/06/03 19:49:11,,,,,Validé,,,,,,,,,
"138",PLANDEAU0000002000778894,06P0000002000778894,,Étang d'Engrenier,Validé,"3",2017/01/24 16:06:18,2019/06/03 19:49:11,,,,,Validé,,,,,,,,,
"139",PLANDEAU0000002000778896,06P0000002000778896,Retenue,Ancien Salin de la Vignolle,Collecté,"3",2017/01/24 16:06:18,2019/10/14 11:07:58,,,,,Validé,,,,,,,,,
"140",PLANDEAU0000002000778898,06P0000002000778898,,Étang de Berre,Validé,"3",2017/01/24 16:06:18,2021/01/31 22:58:36,,,,,Validé,,,,,,,,,
"141",PLANDEAU0000002000778899,06P0000002000778899,Marais,Marais de Faraman,Collecté,"3",2017/01/24 16:06:18,2019/10/14 11:07:58,,,,,Validé,,,,,,,,,
"142",PLANDEAU0000002000778900,06P0000002000778900,,Canal du Japon,Collecté,"3",2017/01/24 16:06:18,2021/01/31 22:58:36,,,,,Validé,,,,,,,,,
"143",PLANDEAU0000002000778901,06P0000002000778901,,Petit Rascaillan,Validé,"3",2017/01/24 16:06:18,2019/06/03 19:49:11,,,,,Validé,,,,,,,,,
"144",PLANDEAU0000002000778902,06P0000002000778902,,Gaze des Piquets,Validé,"3",2017/01/24 16:06:18,2019/06/03 19:49:11,,,,,Validé,,,,,,,,,
"145",PLANDEAU0000002000778903,06P0000002000778903,,Étang du Grand Rascaillan,Validé,"3",2017/01/24 16:06:18,2019/06/03 19:49:11,,,,,Validé,,,,,,,,,
"146",PLANDEAU0000002000778904,06P0000002000778904,,Étang du Fangassier,Validé,"3",2017/01/24 16:06:18,2019/06/03 19:49:11,,,,,Validé,,,,,,,,,
"147",PLANDEAU0000002000778905,06P0000002000778905,,Étang du Galabert,Validé,"3",2017/01/24 16:06:18,2019/06/03 19:49:11,,,,,Validé,,,,,,,,,
"148",PLANDEAU0000002000778906,06P0000002000778906,,la Gacholle,Validé,"3",2017/01/24 16:06:18,2019/06/03 19:49:11,,,,,Validé,,,,,,,,,
"149",PLANDEAU0000002000778907,06P0000002000778907,,Baisse de Cinq Cents Francs,Validé,"3",2017/01/24 16:06:18,2019/06/03 19:49:11,,,,,Validé,,,,,,,,,
"150",PLANDEAU0000002000778909,06P0000002000778909,,Clos des Termes,Collecté,"3",2017/01/24 16:06:18,2019/03/01 22:28:47,,,,,Validé,,,,,,,,,
"151",PLANDEAU0000002000778916,06P0000002000778916,,les Cuvettes,Validé,"3",2017/01/24 16:06:18,2019/06/03 19:49:11,,,,,Validé,,,,,,,,,
"152",PLANDEAU0000002000778917,06P0000002000778917,,Baisses de Saint-Genest,Collecté,"3",2017/01/24 16:06:18,2019/06/04 10:54:14,,,,,Validé,,,,,,,,,
"153",PLANDEAU0000002000778918,06P0000002000778918,,le Grand Réservoir,Validé,"3",2017/01/24 16:06:18,2019/06/03 19:49:11,,,,,Validé,,,,,,,,,
"154",PLANDEAU0000002000778920,06P0000002000778920,,Étang de Faraman,Validé,"3",2017/01/24 16:06:18,2018/01/25 10:50:13,,,,,Validé,,,,,,,,,
"155",PLANDEAU0000002000778921,06P0000002000778921,,Étang de Faraman,Collecté,"3",2017/01/24 16:06:18,2019/06/03 19:49:11,,,,,Validé,,,,,,,,,
"156",PLANDEAU0000002000778922,06P0000002000778922,,Étang de Jonquier,Collecté,"3",2017/01/24 16:06:18,2019/06/04 10:54:14,,,,,Validé,,,,,,,,,
"157",PLANDEAU0000002000778923,06P0000002000778923,,Étang de la Dame ou de Boulein,Validé,"3",2017/01/24 16:06:18,2021/01/31 22:58:36,,,,,Validé,,,,,,,,,
"158",PLANDEAU0000002000778924,06P0000002000778924,,Étang du Vaisseau,Validé,"3",2017/01/24 16:06:18,2019/06/03 19:49:11,,,,,Validé,,,,,,,,,
"159",PLANDEAU0000002000778925,06P0000002000778925,,Lagunes de Beauduc,Collecté,"3",2017/01/24 16:06:18,2019/06/04 10:54:14,,,,,Validé,,,,,,,,,
"160",PLANDEAU0000002000778926,06P0000002000778926,,Trou des Gabians,Validé,"3",2017/01/24 16:06:18,2019/06/03 19:49:11,,,,,Validé,,,,,,,,,
"161",PLANDEAU0000002000778927,06P0000002000778927,,Grau de Piémanson,Collecté,"3",2017/01/24 16:06:18,2019/06/04 10:54:14,,,,,Validé,,,,,,,,,
"162",PLANDEAU0000002000778928,06P0000002000778928,,They de Sainte-Ursule,Collecté,"3",2017/01/24 16:06:18,2018/01/25 10:50:13,,,,,Validé,,,,,,,,,
"163",PLANDEAU0000002000778929,06P0000002000778929,,Baisses de Saint-Genest,Collecté,"3",2017/01/24 16:06:18,2019/06/04 10:54:14,,,,,Validé,,,,,,,,,
"164",PLANDEAU0000002000778930,06P0000002000778930,,Étang de la Galère,Validé,"3",2017/01/24 16:06:18,2019/06/03 19:49:11,,,,,Validé,,,,,,,,,
"165",PLANDEAU0000002000778931,06P0000002000778931,,Étang du Jonquier,Validé,"3",2017/01/24 16:06:18,2019/06/03 19:49:11,,,,,Validé,,,,,,,,,
"166",PLANDEAU0000002000778932,06P0000002000778932,,la Goule,Validé,"3",2017/01/24 16:06:18,2019/06/03 19:49:11,,,,,Validé,,,,,,,,,
"167",PLANDEAU0000002000778933,06P0000002000778933,,Baisse de Mourguettes,Collecté,"3",2017/01/24 16:06:18,2018/01/25 10:50:13,,,,,Validé,,,,,,,,,
"168",PLANDEAU0000002000778934,06P0000002000778934,,Étang de Beauduc,Validé,"3",2017/01/24 16:06:18,2021/01/31 22:58:36,,,,,Validé,,,,,,,,,
"169",PLANDEAU0000002000778935,06P0000002000778935,,Étang du Pourra,Validé,"3",2017/01/24 16:06:18,2021/01/31 22:58:36,,,,,Validé,,,,,,,,,
"170",PLANDEAU0000002000778936,06P0000002000778936,,Baisse de Quenin,Validé,"3",2017/01/24 16:06:18,2019/06/03 19:49:11,,,,,Validé,,,,,,,,,
"171",PLANDEAU0000002000778937,06P0000002000778937,,Grande Rhée Longue,Validé,"3",2017/01/24 16:06:18,2019/06/03 19:49:11,,,,,Validé,,,,,,,,,
"172",PLANDEAU0000002000778938,06P0000002000778938,,Baisse de l'Évêque,Validé,"3",2017/01/24 16:06:18,2019/06/03 19:49:11,,,,,Validé,,,,,,,,,
"173",PLANDEAU0000002000778939,06P0000002000778939,,Étang de Boniface,Validé,"3",2017/01/24 16:06:18,2021/01/27 22:40:36,,,,,Validé,,,,,,,,,
"174",PLANDEAU0000002000778941,06P0000002000778941,,les Salins,Collecté,"3",2017/01/24 16:06:18,2019/06/04 10:54:14,,,,,Validé,,,,,,,,,
"175",PLANDEAU0000002000778942,06P0000002000778942,,la Palus,Collecté,"3",2017/01/24 16:06:18,2019/06/04 10:54:14,,,,,Validé,,,,,,,,,
"176",PLANDEAU0000002000778943,06P0000002000778943,,la Palus,Collecté,"3",2017/01/24 16:06:18,2019/06/04 10:54:14,,,,,Validé,,,,,,,,,
"177",PLANDEAU0000002000778944,06P0000002000778944,,Étang de l'Arnel,Validé,"3",2017/01/24 16:06:18,2021/03/16 22:58:35,,,,,Validé,,,,,,,,,
"178",PLANDEAU0000002000778946,06P0000002000778946,,l'Estagnol,Collecté,"3",2017/01/24 16:06:18,2019/06/04 10:54:14,,,,,Validé,,,,,,,,,
"179",PLANDEAU0000002000778947,06P0000002000778947,,Clos de Vovo,Validé,"3",2017/01/24 16:06:18,2019/06/03 19:49:11,,,,,Validé,,,,,,,,,
"180",PLANDEAU0000002000778948,06P0000002000778948,,le Rhône Mort,Collecté,"3",2017/01/24 16:06:18,2019/06/04 10:54:14,,,,,Validé,,,,,,,,,
"181",PLANDEAU0000002000778949,06P0000002000778949,,Ancien Salin de l'Abbé,Collecté,"3",2017/01/24 16:06:18,2021/03/18 22:15:56,,,,,Validé,,,,,,,,,
"182",PLANDEAU0000002000778950,06P0000002000778950,,Plaine de l'Abbé,Collecté,"3",2017/01/24 16:06:18,2021/03/16 22:58:35,,,,,Validé,,,,,,,,,
"183",PLANDEAU0000002000778951,06P0000002000778951,,le Clos de Bourdeaux,Collecté,"3",2017/01/24 16:06:18,2020/05/15 22:25:52,,,,,Validé,,,,,,,,,
"184",PLANDEAU0000002000778952,06P0000002000778952,,Étang du Roi,Collecté,"3",2017/01/24 16:06:18,2021/01/31 22:58:36,,,,,Validé,,,,,,,,,
"185",PLANDEAU0000002000778953,06P0000002000778953,,Rhône de Saint-Roman,Collecté,"3",2017/01/24 16:06:18,2019/06/04 10:54:14,,,,,Validé,,,,,,,,,
"186",PLANDEAU0000002000778954,06P0000002000778954,,Étang du Repausset Levant,Collecté,"3",2017/01/24 16:06:18,2020/05/18 22:26:54,,,,,Validé,,,,,,,,,
"187",PLANDEAU0000002000778955,06P0000002000778955,,Étang d'Icard,Validé,"3",2017/01/24 16:06:18,2019/06/03 19:49:11,,,,,Validé,,,,,,,,,
"188",PLANDEAU0000002000778956,06P0000002000778956,,Clos du Jonc Marin,Validé,"3",2017/01/24 16:06:18,2020/05/18 22:26:54,,,,,Validé,,,,,,,,,
"189",PLANDEAU0000002000778957,06P0000002000778957,,Clos de la Corée,Validé,"3",2017/01/24 16:06:18,2019/06/03 19:49:11,,,,,Validé,,,,,,,,,
"190",PLANDEAU0000002000778958,06P0000002000778958,,Clos du Sanglier,Validé,"3",2017/01/24 16:06:18,2019/06/03 19:49:11,,,,,Validé,,,,,,,,,
"191",PLANDEAU0000002000778959,06P0000002000778959,,Clos des Salants,Validé,"3",2017/01/24 16:06:18,2020/05/15 22:25:52,,,,,Validé,,,,,,,,,
"192",PLANDEAU0000002000778960,06P0000002000778960,,Clos des Goélands,Validé,"3",2017/01/24 16:06:18,2019/06/03 19:49:11,,,,,Validé,,,,,,,,,
"193",PLANDEAU0000002000778961,06P0000002000778961,,Clar de Tasse,Collecté,"3",2017/01/24 16:06:18,2019/06/04 10:54:14,,,,,Validé,,,,,,,,,
"194",PLANDEAU0000002000778969,06P0000002000778969,,les Salins,Validé,"3",2017/01/24 16:06:18,2021/01/31 22:58:36,,,,,Validé,,,,,,,,,
"195",PLANDEAU0000002000778970,06P0000002000778970,,Étang du Canavérier,Validé,"3",2017/01/24 16:06:18,2019/06/03 19:49:11,,,,,Validé,,,,,,,,,
"196",PLANDEAU0000002000778971,06P0000002000778971,,Étang du Lairan,Collecté,"3",2017/01/24 16:06:18,2020/05/15 22:25:52,,,,,Validé,,,,,,,,,
"197",PLANDEAU0000002000778972,06P0000002000778972,,Ancien Salin des Quarante Sols,Collecté,"3",2017/01/24 16:06:18,2020/10/27 22:17:15,,,,,Validé,,,,,,,,,
"198",PLANDEAU0000002000778973,06P0000002000778973,,Étang du Ponant,Validé,"3",2017/01/24 16:06:18,2021/01/31 22:58:36,,,,,Validé,,,,,,,,,
